system:index,alarm_date,cbi_over,cbi_over_t,cbi_tot,cbi_tot_t,fire_name,id,source,.geo
000051a1755c008d44a0,939193200000,0.91,,,,Lost,155,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58878617787735,37.64672579533822]}"
0000835d844ae3ed16b8,939193200000,2.26,,,,Lost,150,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58864662798989,37.64577641304749]}"
000074465a4d8ea7b7d5,939193200000,2.81,,,,Lost,136,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58776776237019,37.64615162731108]}"
000024cfde563b5fe62c,939193200000,2.05,,,,Lost,137,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58767371527003,37.64536974790488]}"
0000d4403dc7b80372da,939193200000,2.41,,,,Lost,151,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58933095874139,37.645608207064974]}"
00003f6b42c5180b959f,939193200000,2.64,,,,Lost,139,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.5899691957899,37.64349647112142]}"
0000835dd099d3036697,939193200000,2.73,,,,Lost,140,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59042426943762,37.6429935845557]}"
0000f44daaa8467144b1,939193200000,2.65,,,,Lost,154,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58906293661859,37.643246043045785]}"
0000c73501e58fa779e2,939193200000,2.54,,,,Lost,144,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59069030397998,37.64239933379717]}"
00000a3ca1f102bf6a7f,939193200000,1.13,,,,Lost,158,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58217817440111,37.639810652332734]}"
00000593457c1907f862,939193200000,0.33,,,,Lost,142,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58281258230132,37.63951111802098]}"
000089cb25702feea2cd,939193200000,0.5,,,,Lost,160,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58093160076778,37.63915581418948]}"
0000b92bedea6c63af94,939193200000,0.34,,,,Lost,159,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.58116619348563,37.63840458182305]}"
0000f904dc7440f10f31,939193200000,2.16,,,,Lost,141,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59220039846603,37.64131008515418]}"
000042b99b987d6bc37f,939193200000,2.79,,,,Lost,161,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.5949483270218,37.63980972935938]}"
00008f128123d45efeb4,939193200000,0.48,,,,Lost,162,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59563152279654,37.63957843666398]}"
0000950b7839f15f5a90,939193200000,0.79,,,,Lost,163,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59724198292406,37.63844636717932]}"
0000679e1fe8f5218b2c,939193200000,1.91,,,,Lost,173,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59751592277938,37.63749599964501]}"
