fire_id,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day
0000def4d0683801197f,1,CA,BLM,BBD,BRIDGE,00000000,7,,6492,6373.83544921875,8,1,0000D213,2579.3996988061,0,15144,1988,7,19,1988,7,26
00001b3e9e4bedd707dc,1,CA,CDF,TCU,BRIDGE,,7,20090305,0,6690.32177734375,8,1,00000546,2707.47714662002,0,14733,1988,7,21,,,
0000711190ddef6606c0,1,CA,CDF,TCU,MASON,00002733,7,,,4049.60034179688,,1,00000548,1638.81510470367,0,3788,1988,7,21,,,
00001a9b0cda9be510f3,1,CA,USF,PNF,,00000000,1,,35,27.7529201507568,8,1,00000182,11.231208126477,0,44,1988,7,21,1988,7,23
0000252927a750b354ca,1,CA,NPS,KNP,SIMPSON,00000000,1,,580,980.589904785156,8,2,00000059,396.830656671656,0,2943,1988,7,21,1988,8,31
000014a60ba24db272ec,1,CA,NPS,KNP,CASTLE,00000000,1,,10,4.22636747360229,8,1,00000055,1.71035019982543,0,22,1988,7,22,1988,7,25
0000c1ebae744f3588a1,1,CA,NPS,KNP,LEWIS CR,00000000,1,,40,33.8098526000977,8,2,00000054,13.6823612234191,0,193,1988,7,23,1988,8,9
00008804524be82da1e0,1,CA,USF,SNF,HUEY,00000000,1,,28,13.2847528457642,8,1,00000148,5.37614887707907,0,37,1988,7,23,1988,7,30
0000086795df2efe6e52,1,CA,USF,SNF,OBELISK,00000000,1,,8000,5420.90380859375,8,1,00000124,2193.76201112783,0,12408,1988,7,24,1988,10,31
000013c8bbebc7531b57,1,CA,NPS,YNP,HORIZON,00000049,1,,673.666771914873,673.669494628906,4,2,00000049,272.624362013069,0,1807,1988,7,24,1988,11,10
00004841b4558936156b,1,CA,USF,SNF,DESK,00000000,1,,45,122.310554504395,8,1,00000183,49.497324834155,0,85,1988,7,27,1988,8,25
00000070cedf65ed5322,1,CA,USF,STF,MANZANITA,,8,20090305,39,38.5298042297363,6,1,00000061,15.5924580372394,0,222,1988,7,27,1988,7,27
0000321ebda33a2c6d29,1,CA,USF,SNF,EL PORTAL,00000000,9,,185,150.912719726562,8,1,00000187,61.0722087069582,0,6,1988,8,1,1988,8,4
000015357ff2a5aa1fde,1,CA,USF,PNF,,00000000,1,,120,62.8119964599609,8,1,00000234,25.419113203165,0,368,1988,8,9,1988,8,13
0000011f207417739f01,1,CA,NPS,YNP,ELBOW,00000075,1,,450.452175975883,450.453979492188,8,2,00000075,182.29226127078,0,368,1988,8,10,1988,11,10
00009073ceebd5f56d71,1,CA,USF,STF,MOKE,,1,20090305,45,36.1894416809082,6,1,00000019,14.6453475340354,0,12,1988,8,10,1988,8,12
00006fcc11be1ba92416,1,CA,USF,PNF,,00000000,1,,20,18.013219833374,8,1,00000247,7.289691541184,0,105,1988,8,10,1988,8,10
00006c8f123e3e741f57,1,CA,NPS,YNP,BREEZE,00000081,1,,195.795748599073,195.796539306641,4,2,00000081,79.2360490904021,0,738,1988,8,11,1988,11,10
0000fd8a02aa692d50f2,1,CA,USF,SQF,HAVILAH,00000000,3,,1573,1489.36547851562,8,1,00000157,602.724816799959,0,1493,1988,8,11,1988,8,14
0000c16d88d792f3987e,1,CA,NPS,KNP,DOG,00000000,1,,0.2,10.2326354980469,8,2,00000084,4.14100082257662,0,52,1988,8,12,1988,9,3
0000d5446dd14dcb09b3,1,CA,NPS,YNP,EDSON,00000082,1,,236.185074172377,236.186019897461,4,2,00000082,95.5810885896761,0,937,1988,8,13,1988,11,10
00004f768c74ceff55ee,1,CA,NPS,KNP,GNAT,00000000,1,,10,7.78512525558472,8,1,00000087,3.15052843150946,0,46,1988,8,18,1988,9,30
00000d430374119ecf5e,1,CA,NPS,YNP,ALASKA,00000088,1,,1876.67587615139,1876.68334960938,8,2,00000088,759.466821847089,0,6865,1988,8,18,1988,11,19
0000b380ebe53a30ca80,1,CA,CDF,TCU,GRADE,00003271,2,,,375.393249511719,,1,00000652,151.916263417034,0,53,1988,8,19,,,
